iter	Passed	Remaining
0	1	596
1	3	832
2	6	919
3	8	956
4	11	984
5	13	986
6	15	987
7	18	979
8	20	986
9	22	981
10	25	982
11	27	979
12	29	979
13	32	979
14	34	981
15	37	981
16	39	978
17	41	980
18	44	981
19	46	984
20	49	983
21	51	981
22	55	999
23	58	1007
24	60	1008
25	63	1003
26	65	995
27	67	988
28	69	980
29	71	974
30	73	966
31	75	958
32	77	950
33	79	941
34	80	932
35	82	923
36	83	911
37	85	902
38	86	891
39	88	881
40	90	875
41	91	867
42	93	858
43	94	849
44	96	841
45	97	834
46	99	827
47	101	823
48	102	819
49	104	813
50	106	807
51	107	801
52	109	795
53	110	788
54	111	781
55	113	774
56	114	767
57	115	760
58	116	753
59	118	746
60	119	740
61	120	733
62	122	728
63	123	722
64	124	717
65	125	711
66	127	706
67	128	701
68	130	697
69	131	692
70	132	689
71	134	685
72	135	681
73	137	677
74	138	673
75	140	668
76	141	665
77	142	660
78	144	656
79	145	652
80	146	648
81	148	644
82	149	641
83	150	637
84	151	632
85	153	628
86	154	624
87	155	620
88	157	618
89	158	616
90	160	614
91	161	611
92	163	607
93	164	604
94	166	601
95	167	598
96	168	594
97	170	591
98	171	588
99	172	585
100	174	582
101	175	579
102	176	576
103	177	573
104	179	570
105	180	567
106	181	564
107	183	561
108	184	558
109	185	555
110	187	553
111	188	551
112	189	548
113	191	545
114	192	542
115	194	540
116	195	537
117	197	535
118	198	534
119	199	531
120	201	529
121	203	527
122	204	525
123	205	522
124	206	519
125	208	517
126	209	515
127	211	512
128	212	510
129	213	507
130	215	505
131	216	503
132	217	500
133	219	498
134	220	496
135	221	494
136	223	491
137	224	490
138	226	487
139	227	485
140	229	483
141	230	482
142	232	480
143	233	478
144	234	476
145	236	474
146	237	471
147	238	469
148	239	467
149	241	464
150	242	462
151	243	460
152	244	457
153	246	455
154	247	453
155	248	451
156	250	449
157	252	448
158	253	446
159	254	444
160	256	442
161	257	439
162	258	437
163	259	435
164	260	432
165	261	430
166	263	428
167	264	426
168	265	424
169	266	422
170	267	419
171	269	417
172	270	415
173	271	413
174	272	411
175	273	409
176	275	407
177	276	405
178	277	403
179	278	401
180	279	398
181	281	397
182	282	395
183	284	393
184	285	392
185	287	391
186	289	389
187	290	388
188	292	386
189	293	384
190	294	382
191	295	380
192	297	378
193	298	376
194	299	374
195	300	372
196	301	370
197	302	368
198	303	366
199	305	364
200	306	362
201	308	361
202	309	360
203	311	358
204	312	356
205	313	354
206	314	352
207	316	351
208	317	349
209	319	347
210	320	346
211	321	344
212	323	342
213	324	341
214	325	339
215	326	337
216	328	335
217	329	333
218	330	331
219	331	330
220	332	328
221	333	326
222	335	324
223	336	323
224	337	321
225	338	319
226	340	317
227	341	316
228	342	314
229	343	312
230	345	310
231	346	308
232	347	307
233	348	305
234	349	303
235	351	302
236	352	300
237	354	299
238	355	297
239	356	295
240	357	294
241	359	292
242	360	290
243	361	288
244	362	287
245	363	285
246	365	283
247	366	282
248	367	280
249	368	278
250	369	276
251	370	275
252	372	273
253	373	272
254	374	270
255	376	268
256	377	267
257	378	265
258	379	263
259	380	262
260	382	260
261	383	258
262	384	257
263	385	255
264	386	253
265	387	252
266	388	250
267	390	248
268	391	247
269	392	245
270	393	244
271	395	242
272	396	240
273	397	239
274	398	237
275	399	236
276	401	234
277	402	232
278	403	231
279	404	229
280	406	228
281	407	226
282	408	225
283	409	223
284	411	222
285	412	220
286	413	219
287	415	217
288	416	216
289	417	214
290	418	212
291	420	211
292	421	209
293	422	208
294	423	206
295	424	205
296	426	203
297	427	202
298	428	200
299	429	199
300	430	197
301	432	195
302	433	194
303	434	192
304	435	191
305	436	189
306	438	188
307	439	186
308	440	185
309	441	183
310	443	182
311	445	181
312	446	179
313	447	178
314	449	176
315	450	175
316	451	173
317	452	172
318	454	170
319	455	169
320	456	167
321	457	166
322	458	164
323	460	163
324	462	162
325	463	160
326	465	159
327	466	157
328	467	156
329	469	154
330	470	153
331	471	151
332	472	150
333	473	149
334	475	147
335	476	146
336	477	144
337	478	143
338	480	141
339	481	140
340	482	138
341	483	137
342	484	135
343	485	134
344	487	132
345	488	131
346	489	129
347	490	128
348	492	126
349	493	125
350	495	124
351	496	122
352	497	121
353	498	119
354	500	118
355	501	116
356	502	115
357	504	114
358	505	112
359	506	111
360	507	109
361	509	108
362	510	106
363	511	105
364	512	103
365	513	102
366	515	101
367	516	99
368	517	98
369	518	96
370	520	95
371	521	93
372	523	92
373	524	91
374	525	89
375	526	88
376	528	86
377	529	85
378	530	83
379	532	82
380	533	81
381	534	79
382	535	78
383	536	76
384	538	75
385	539	74
386	540	72
387	541	71
388	542	69
389	544	68
390	545	66
391	547	65
392	548	64
393	549	62
394	551	61
395	552	59
396	553	58
397	554	57
398	555	55
399	556	54
400	558	52
401	559	51
402	560	50
403	562	48
404	563	47
405	564	45
406	566	44
407	567	43
408	568	41
409	569	40
410	570	38
411	571	37
412	573	36
413	574	34
414	575	33
415	577	31
416	578	30
417	579	29
418	580	27
419	581	26
420	583	24
421	584	23
422	585	22
423	586	20
424	587	19
425	589	17
426	590	16
427	591	15
428	593	13
429	594	12
430	595	11
431	596	9
432	597	8
433	599	6
434	600	5
435	601	4
436	602	2
437	603	1
438	605	0
